hand,groupId,groupName,reason,win,lose,mistake,summary,special
JTs,jt,JTs,ストレート・フラッシュ・強ドローを作りやすい。,強い完成役とコンボドロー。,ワンペア勝負で上に負ける。,きれいな見た目だけで参加すること。,プレイアビリティの教科書。ただし条件を選ぶ。,True
J9s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
J8s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J7s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J6s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J5s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J4s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J3s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
J2s,weak_suited_jack,弱スーテッドJ,スーテッドと一部の連結性が価値だが、カード強度は低め。,フラッシュ、ストレート、弱いワンペアのショーダウン。,Jヒットで上位Jや強いトップペアに負ける。,当たったワンペアを過大評価すること。,派手な完成役狙い。ワンペア勝負は控えめ。,False
ATo,aj_at,AJ-AT,トップペアを作りやすく、ポジションが良いほど扱いやすい。,弱いAやJ/Tヒットからバリューを取る。,AQ+やAJ+にキッカー負け。,キッカー問題を軽視すること。,キッカー問題を学ぶ代表。,False
KTo,kj_kt,KJ-KT,トップペアを作れるが、強キッカーに負けるリスクもある。,KヒットやJ/Tヒットで勝つ。,AK/KQ/KJなど上位キッカー。,Kヒットを強すぎる手として扱うこと。,キッカー負けを常に意識。,False
QTo,qj_qt,QJ-QT,高カードと連結性があり、ストレートも作りやすい。,トップペア、ストレート、強ドロー。,AQ/KQ/QJなどに支配される。,トップペアだけで粘りすぎること。,ヒットだけでなくドロー性能も評価。,False
JTo,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
TT,high_pocket,JJ-TT,高いショーダウン価値があり、低〜中ボードではオーバーペアになりやすい。,オーバーカードが少ないボードで勝つ。,A/K/Q高ボードでトップペアに抜かれる。,高カードが複数落ちても過信すること。,強いが繊細。高カードが出たら評価を下げる。,False
T9s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
T8s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
T7s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T6s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T5s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T4s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T3s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
T2s,weak_suited_ten,弱スーテッドT,一部ストレート性はあるが、トップペアとしては弱い。,フラッシュ、ストレート、強ドロー。,Tヒットで上位キッカーに負ける。,中途半端なヒットで降りられないこと。,ドロー性能を買うハンド。,False
A9o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
Q9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
J9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
T9o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
99,middle_pocket,中ポケット,セット期待とショーダウン価値のバランスがある。,セット完成、または低ボードで逃げ切る。,オーバーカード複数で苦しくなる。,セット未完成で粘りすぎること。,当たれば強いが、外れたら無理しない。,False
98s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
97s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
96s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
95s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
94s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
93s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
92s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A8o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K8o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
Q8o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
J8o,offsuit_broadway,オフスートブロードウェイ,高カードの強さはあるが、スーテッドでないため実現率は下がる。,トップペア、強いハイカード勝負。,ドミネート、キッカー負け。,早いポジションやOOPで参加しすぎること。,見た目は強いが扱いは慎重に。,False
T8o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
98o,offsuit_connected,オフスートコネクター,ストレート性はあるがフラッシュがなく、価値は限定的。,ストレート、時々ツーペア。,弱いワンペアで負ける。,スーテッドコネクターと同じ価値で扱うこと。,オフスートは価値が下がる。,False
88,middle_pocket,中ポケット,セット期待とショーダウン価値のバランスがある。,セット完成、または低ボードで逃げ切る。,オーバーカード複数で苦しくなる。,セット未完成で粘りすぎること。,当たれば強いが、外れたら無理しない。,False
87s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
86s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
85s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
84s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
83s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
82s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A7o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K7o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q7o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J7o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T7o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
97o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
87o,offsuit_connected,オフスートコネクター,ストレート性はあるがフラッシュがなく、価値は限定的。,ストレート、時々ツーペア。,弱いワンペアで負ける。,スーテッドコネクターと同じ価値で扱うこと。,オフスートは価値が下がる。,False
77,middle_pocket,中ポケット,セット期待とショーダウン価値のバランスがある。,セット完成、または低ボードで逃げ切る。,オーバーカード複数で苦しくなる。,セット未完成で粘りすぎること。,当たれば強いが、外れたら無理しない。,False
76s,suited_connector_high,T9s-76s,ストレートとフラッシュを狙えるプレイアビリティが高い。,隠れたストレート、フラッシュ、強ドロー。,弱いワンペアで負ける。,当たらない時にも粘りすぎること。,夢はあるが万能ではない。,False
75s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
74s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
73s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
72s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A6o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K6o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q6o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J6o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T6o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
96o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
86o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
76o,offsuit_connected,オフスートコネクター,ストレート性はあるがフラッシュがなく、価値は限定的。,ストレート、時々ツーペア。,弱いワンペアで負ける。,スーテッドコネクターと同じ価値で扱うこと。,オフスートは価値が下がる。,False
66,small_pocket,小ポケット,主な価値はセット。安くフロップを見られる場面で価値が上がる。,セットで相手のトップペアから大きく取る。,セットにならず高カードボードで苦しくなる。,セット未完成でコールを重ねること。,セット狙い。外れたら軽く手放す。,False
65s,suited_connector_low,65s-54s,低い連結スーテッドで、隠れた強い役を作れる。,相手が読みにくいストレートやフラッシュ。,低いワンペア、弱いドロー。,参加しすぎること。,境界ハンドとして扱う。,False
64s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
